date,time,wavelength1,turbidity_595_nm_raw,wavelength2,turbidity_700_nm_raw,wavelength3,cdom_460_nm_raw,wavelength4,datetime
10/22/20,09:14:33,595,77,700,83,460,74,516,10/22/2020 17:18:31.208041
10/22/20,09:14:35,595,77,700,83,460,73,516,10/22/2020 17:18:32.329062
10/22/20,09:14:36,595,74,700,82,460,73,516,10/22/2020 17:18:33.467999
10/22/20,09:14:37,595,77,700,81,460,72,516,10/22/2020 17:18:34.591994
10/22/20,09:14:38,595,76,700,81,460,73,516,10/22/2020 17:18:35.717986
10/22/20,09:14:39,595,76,700,83,460,73,516,10/22/2020 17:18:36.940713
10/22/20,09:14:40,595,76,700,81,460,73,516,10/22/2020 17:18:37.974948
10/22/20,09:14:41,595,75,700,81,460,72,516,10/22/2020 17:18:39.100937
10/22/20,09:14:42,595,73,700,79,460,72,516,10/22/2020 17:18:40.240887
10/22/20,09:14:44,595,75,700,79,460,72,516,10/22/2020 17:18:41.352914
10/22/20,09:14:45,595,74,700,80,460,72,516,10/22/2020 17:18:42.488877
10/22/20,09:14:46,595,73,700,79,460,75,516,10/22/2020 17:18:43.613868
10/22/20,09:14:47,595,74,700,80,460,69,516,10/22/2020 17:18:44.749833
10/22/20,09:14:48,595,75,700,79,460,73,516,10/22/2020 17:18:45.873825
10/22/20,09:14:49,595,79,700,78,460,75,516,10/22/2020 17:18:47.102539
10/22/20,09:14:50,595,74,700,80,460,75,516,10/22/2020 17:18:48.122813
10/22/20,09:14:51,595,74,700,77,460,74,516,10/22/2020 17:18:49.257778
10/22/20,09:14:53,595,73,700,77,460,73,516,10/22/2020 17:18:50.376785
10/22/20,09:14:54,595,75,700,78,460,72,516,10/22/2020 17:18:51.512747
10/22/20,09:14:55,595,73,700,77,460,71,516,10/22/2020 17:18:52.761409
10/22/20,09:14:56,595,74,700,79,460,72,516,10/22/2020 17:18:53.868450
10/22/20,09:14:57,595,74,700,77,460,71,516,10/22/2020 17:18:54.911658
10/22/20,09:14:58,595,73,700,77,460,72,516,10/22/2020 17:18:56.022688
10/22/20,09:14:59,595,74,700,78,460,73,516,10/22/2020 17:18:57.163637
10/22/20,09:15:00,595,75,700,76,460,72,516,10/22/2020 17:18:58.288629
10/22/20,09:15:02,595,74,700,79,460,73,516,10/22/2020 17:18:59.412622
10/22/20,09:15:03,595,73,700,78,460,72,516,10/22/2020 17:19:00.542602
10/22/20,09:15:04,595,74,700,78,460,71,516,10/22/2020 17:19:01.676571
10/22/20,09:15:05,595,72,700,78,460,72,516,10/22/2020 17:19:02.793582
10/22/20,09:15:06,595,75,700,79,460,72,516,10/22/2020 17:19:03.927551
10/22/20,09:15:07,595,73,700,78,460,72,516,10/22/2020 17:19:05.049550
10/22/20,09:15:08,595,75,700,79,460,74,516,10/22/2020 17:19:06.187509
10/22/20,09:15:09,595,75,700,79,460,73,516,10/22/2020 17:19:07.302526
10/22/20,09:15:11,595,73,700,80,460,68,517,10/22/2020 17:19:08.438487
10/22/20,09:15:12,595,75,700,81,460,75,516,10/22/2020 17:19:09.563479
10/22/20,09:15:13,595,75,700,80,460,69,516,10/22/2020 17:19:10.792195
10/22/20,09:15:14,595,74,700,79,460,75,517,10/22/2020 17:19:11.823437
10/22/20,09:15:15,595,74,700,85,460,70,516,10/22/2020 17:19:12.954412
10/22/20,09:15:16,595,74,700,77,460,73,517,10/22/2020 17:19:14.068435
10/22/20,09:15:17,595,77,700,79,460,71,517,10/22/2020 17:19:15.206390
10/22/20,09:15:19,595,75,700,77,460,72,517,10/22/2020 17:19:16.329388
10/22/20,09:15:20,595,77,700,81,460,71,517,10/22/2020 17:19:17.462358
10/22/20,09:15:21,595,73,700,81,460,73,517,10/22/2020 17:19:18.583361
10/22/20,09:15:22,595,75,700,78,460,72,517,10/22/2020 17:19:19.718328
10/22/20,09:15:23,595,75,700,77,460,71,517,10/22/2020 17:19:20.939061
10/22/20,09:15:24,595,78,700,81,460,72,517,10/22/2020 17:19:21.994241
10/22/20,09:15:25,595,75,700,80,460,72,517,10/22/2020 17:19:23.094299
10/22/20,09:15:26,595,74,700,80,460,72,517,10/22/2020 17:19:24.553397
10/22/20,09:15:28,595,75,700,81,460,72,517,10/22/2020 17:19:25.348272
10/22/20,09:15:29,595,75,700,78,460,73,517,10/22/2020 17:19:26.578982
10/22/20,09:15:30,595,74,700,79,460,73,517,10/22/2020 17:19:27.714944
10/22/20,09:15:31,595,75,700,80,460,72,517,10/22/2020 17:19:28.754166
10/22/20,09:15:32,595,74,700,81,460,72,517,10/22/2020 17:19:29.873171
10/22/20,09:15:33,595,76,700,78,460,75,517,10/22/2020 17:19:31.099892
10/22/20,09:15:34,595,74,700,80,460,67,517,10/22/2020 17:19:32.127146
10/22/20,09:15:35,595,73,700,78,460,76,517,10/22/2020 17:19:33.265101
10/22/20,09:15:37,595,77,700,79,460,69,517,10/22/2020 17:19:34.383112
10/22/20,09:15:38,595,75,700,85,460,74,517,10/22/2020 17:19:35.510101
10/22/20,09:15:39,595,73,700,79,460,71,517,10/22/2020 17:19:36.643070
10/22/20,09:15:40,595,75,700,78,460,73,517,10/22/2020 17:19:37.764071
10/22/20,09:15:41,595,75,700,80,460,72,517,10/22/2020 17:19:38.892058
10/22/20,09:15:42,595,75,700,81,460,73,517,10/22/2020 17:19:40.020038
10/22/20,09:15:43,595,73,700,78,460,72,517,10/22/2020 17:19:41.154006
10/22/20,09:15:44,595,75,700,78,460,72,517,10/22/2020 17:19:42.285981
10/22/20,09:15:46,595,74,700,81,460,72,517,10/22/2020 17:19:43.409975
10/22/20,09:15:47,595,75,700,79,460,72,517,10/22/2020 17:19:44.533970
10/22/20,09:15:48,595,73,700,79,460,72,517,10/22/2020 17:19:45.673922
10/22/20,09:15:49,595,74,700,81,460,72,517,10/22/2020 17:19:46.797915
10/22/20,09:15:50,595,76,700,79,460,73,517,10/22/2020 17:19:47.923904
10/22/20,09:15:51,595,73,700,80,460,72,518,10/22/2020 17:19:49.139656
